ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTABELECI,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,LEITOS,Unnamed: 24,Unnamed: 25,DS_CATEGORIA_UNIDADE
11,-46654057,-23497448,355030821000001,3550308005062,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,PQ PERUCHE-AMA ESPECIALIDADES,"JOSE RANGEL DE CAMARGO,R,500",PQ PERUCHE,38589865.0,2538010.0,6148336.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
12,-46575142,-23570175,355030801000007,3550308005039,1,AGUA RASA,25,MOOCA,Leste,Leste 1,V BERTIOGA - AMA ESPECIALIDADES,"FAROL PAULISTANO,R,410",JD ITALIA,69561066.0,3192060.0,6135749.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
13,-46664681,-23672783,355030822000066,3550308005164,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,V CONSTANCIA -AMA ESPECIALIDADES,"HERMENEGILDO MARTINI,R,S/N",V CONSTANCIA,55626944.0,,6415415.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
14,-46604422,-23629079,355030868000033,3550308005088,69,SACOMA,13,IPIRANGA,Sul,Sul 1,V DAS MERCES- AMA ESPECIALIDADES,"NOSSA SENHORA DAS MERCES,R,1315",V DAS MERCES,69461443.0,4165001.0,6357083.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
15,-46600559,-23492830,355030886000065,3550308005032,88,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,V IZOLINA MAZZEI-AMA ESPECIALIDADES,"ORLANDO RIBEIRO DANTAS,R,154",V IZOLINA MAZZEI,22016586.0,2083010.0,6451055.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
16,-46710942,-23476568,355030863000213,3550308005115,64,PIRITUBA,2,PIRITUBA,Norte,Norte 1,VILA ZATT - AMA ESPECIALIDADES,"MONSENHOR MANOEL GOMES,R,654",PIRITUBA,39752116.0,2975120.0,6391885.000000,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
17,-46645846,-23628113,355030877000121,3550308005094,79,SAUDE,12,VILA MARIANA,Sul,Sul 1,ALEXANDRE KALIL - AE,"CECI,AV,2235",PLANALTO PAULISTA,,,2751844.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
18,-46651378,-23523016,355030869000043,3550308005027,70,SANTA CECILIA,9,SE,Centro,Centro,AMBULATORIO MULTI PROF CRIANCA ADOLESCENTE - PROGRAMA EQUILIBRIO,"ANHAGUERA,R,484",BARRA FUNDA,33925624.0,1135000.0,6292194.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
19,-46612505,-23482098,355030882000068,3550308005066,84,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 2,"ARMANDO DE AGUIAR PUPO,DR - AE","NOVA CANTAREIRA,AV,1476",TUCURUVI,29526700.0,2331002.0,2751984.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
20,-46645012,-23652993,355030838000337,3550308005095,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,CCI - CENTRO DE CONTROLE DE INTOXICACOES,"FRANCISCO DE PAULA QUINTANILHA RIBEIRO, AV, 860",JABAQUARA,80077137.0,4330020.0,2081970,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
21,-46654078,-23561088,355030807000080,3550308005011,7,BELA VISTA,9,SE,Centro,Centro,CENTRO - AE,"CARLOS COMENALLE,R,32",BELA VISTA,2830005.0,1332030.0,2068982,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
22,-46645012,-23652993,355030838000337,3550308005095,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,CENTRO DE CONTROLE DE INTOXICACOES - CCI,"FRANCISCO DE PAULA Q RIBEIRO,AV,860",JABAQUARA,50115111.0,4330020.0,2081970.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
23,-46659460,-23695249,355030858000064,3550308005216,59,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,CESAR ANTUNES DA ROCHA-AE(PEDREIRA),"CORREGO AZUL,R,433",PEDREIRA,56115044.0,4463010.0,2751925.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
24,-46643979,-23548579,355030866000009,3550308005002,67,REPUBLICA,9,SE,Centro,Centro,CONSOLACAO-AE,"MARTINS FONTES,R,208",CONSOLACAO,32564401.0,1050000.0,2069008.000000,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
25,-46716684,-23524112,355030848000054,3550308005059,48,LAPA,8,LAPA,Oeste,Oeste,FERNANDO RAMIREZ CRUZ - AE,"BRIG GAVI´┐¢O PEIXOTO, R.727",LAPA,38652213.0,5078000.0,2751941.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
26,-46608202,-23587114,355030834000009,3550308005019,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,"FLAVIO GIANOTTI,DR-AE","XAVIER DE ALMEIDA,R,210",IPIRANGA,20630622.0,4211000.0,2751860.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
27,-46693656,-23499520,355030829000045,3550308005117,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,FREGUESIA DO O-AE,"BONIFACIO CUBAS,R,304",FREGUESIA DO O,39315956.0,2731000.0,2751879.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
28,-46691259,-23702945,355030823000140,3550308005217,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,INTERLAGOS - AMB MED ESPEC,"ARTHUR NASCIMENTO JR,R,120",JD SATELITE,56682500.0,4815180.0,6432530.000000,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
29,-46603666,-23555510,355030853000023,3550308005018,54,MOOCA,25,MOOCA,Leste,Leste 1,"ITALO DOMIGOS LE VOCCI,DR-AE (MOOCA)","MARINA CRESPI,R,91",MOOCA,22929512.0,3112090.0,2751917.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
30,-46704621,-23722254,355030823000019,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JD CLIPPER-AE,"CARLOS PEZZOLO,DR,S/N",PQ ESMERALDA,59285703.0,4828070.0,2751887.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
31,-46681892,-23671108,355030816000026,3550308005172,16,CAMPO GRANDE,14,SANTO AMARO,Sul,Sul 2,JD DOS PRADOS - AME AMB MED ESPEC,"SANTANA,R,275",VILA S+O PEDRO,56332491.0,,6423086.000000,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
32,-46412487,-23557468,355030831000169,3550308005264,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,JD S CARLOS - AE,"MACABU,R,35",JD. SAO CARLOS,25577021.0,8411470.0,4050312.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
33,-46434612,-23553169,355030847000033,3550308005262,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,JOSE BONIFACIO IV-AE,"ANDREAS AMON,R,150",COHAB JOSE BONIFACIO,65232158.0,8255130.0,2751895.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
34,-46592704,-23606818,355030868000236,3550308005086,69,SACOMA,13,IPIRANGA,Sul,Sul 1,LUIZ B BARATA HELIOPOLIS - AE,"ALMIRANTE DELAMARE,AV,1534",IPIRANGA,,4230000.0,6479200.000000,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
35,-46598278,-23530564,355030808000018,3550308005016,8,BELEM,25,MOOCA,Leste,Leste 1,MARIA ZELIA - AMBULATORIO DE ESPECIALIDADES,"JEQUITINHONHA,R,360",CATUMBI,2913003.0,3021040.0,2091542,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
36,-46685595,-23755005,355030830000013,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,"MILTON ALDRED,DR-AE","SAO CAETANO DO SUL,R,381",GRAJAU,59322015.0,4840230.0,2751909.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
37,-46737938,-23403315,355030861000051,3550308005242,62,PERUS,1,PERUS,Norte,Norte 1,PERUS-AE,"JULIO DE OLIVEIRA,R,80",V FLAMENGO,39171263.0,5201070.0,3094340.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
38,-46727089,-23484117,355030863000002,3550308005113,64,PIRITUBA,2,PIRITUBA,Norte,Norte 1,PIRITUBA - AE,"MENOTTI LAUDISIO,AV,100",PIRITUBA,39747000.0,2945000.0,6670849.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
39,-46492813,-23611267,355030876000172,3550308005209,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,SAPOPEMBA - AE,"JOAO LOPES DE LIMA,R,1151",JD. SAPOPEMBA,29623480.0,3976020.0,2751968.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
40,-46440472,-23496403,355030874000093,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,TITO LOPES DA SILVA - AE,"ANTONIO GAMA DE CERQUEIRA,PROF,R,647",V AMERICANA,29569099.0,8010130.0,2751976.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
41,-46473857,-23494477,355030828000049,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,V PARANAGUA-AE,"JOSE GOES NOGUEIRA,R,70",V  PARANAGUA,69438044.0,3807380.0,2751836.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
42,-46582361,-23581804,355030893000064,3550308005042,95,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,V PRUDENTE - AE,"CENTENARIO DE V PRUDENTE,PCA,108",V  PRUDENTE,22731665.0,3132050.0,2751852.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
43,-46755767,-23405738,355030861000010,3550308005243,62,PERUS,1,PERUS,Norte,Norte 1,PERUS CASA VIVA - AE SM,"ANTONIO MAIA,R,827",PERUS,39171031.0,5204110.0,3041530.000000,1,Municipal,1,AMBULATORIO DE SAUDE MENTAL,3,SAUDE MENTAL,0,,,SAUDE MENTAL
44,-46586877,-23515417,355030889000163,3550308005033,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,VILA MARIA - AME DE PSIQUIATRIA,"GUILHERME COTCHING,AV,1600",VILA MARIA,,2113012.0,6578578.000000,2,Estadual,1,AMBULATORIO DE SAUDE MENTAL,3,SAUDE MENTAL,0,,,SAUDE MENTAL
45,-46623145,-23596913,355030890000089,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,C R HOMEOPATIA E MEDICINA TRADICIONAL,"JOAO BATISTUSSI,R,55",CONJ DOS BANCARIOS,55712682.0,4121100.0,2786796.000000,1,Municipal,37,AMBULATORIOS ESPECIALIZADOS,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
46,-46388369,-23491742,355030836000109,3550308005250,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,APOIO DIAG/HORA CERTA ITAIM PAULISTA,"MARECHAL TITO,AV,6035",ITAIM PAULISTA,25683354.0,5051001.0,6136028.000000,1,Municipal,48,APOIO DIAGNOSTICO,2,APOIO DIAGNOSTICO,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
47,-46490063,-23522787,355030864000052,3550308005143,65,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,BURGO PAULISTA -APOIO DIAG/AMA ESPECIALIDADES,"JOSE SILVA ALCANTARA FILHO,R,1031",BURGO PAULISTA,22800080.0,3680000.0,6393608.000000,1,Municipal,48,APOIO DIAGNOSTICO,2,APOIO DIAGNOSTICO,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
48,-46743017,-23659403,355030846000093,3550308005224,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JD SAO LUIS - APOIO DIAG,"LUIS ANTONIO VERNEY,R,98",JD S+O LUIS,55111153.0,5846380.0,6200389.000000,1,Municipal,48,APOIO DIAGNOSTICO,2,APOIO DIAGNOSTICO,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
49,-46600559,-23492830,355030886000065,3550308005032,88,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,V IZOLINA MAZZEI-APOIO DIAGNOSTICO,"ORLANDO RIBEIRO DANTAS,R,154",V IZOLINA MAZZEI,22016586.0,2083010.0,6451055.000000,1,Municipal,48,APOIO DIAGNOSTICO,2,APOIO DIAGNOSTICO,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
50,-46442459,-23533676,355030837000079,3550308005201,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,V N SRA APARECIDA-APD,"PAULINO SERQUEIRA,R,01",ITAQUERA,61797871.0,8215160.0,2789094.000000,1,Municipal,48,APOIO DIAGNOSTICO,2,APOIO DIAGNOSTICO,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
51,-46579509,-23553466,355030801000122,3550308005039,1,AGUA RASA,25,MOOCA,Leste,Leste 1,AGUA RASA-AMA,"SERRA DE JAIRE,R,1480",AGUA RASA,66052156.0,3175001.0,6135714.000000,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
52,-46469079,-23522008,355030837000235,3550308005199,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,AGUIA DE HAIA - AMA,"TANTAS PALAVRAS,R,59",COHAB -GUIA DE HAIA,37563187.0,8223510.0,5883202.000000,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
53,-46500964,-23542114,355030891000094,3550308005147,93,VILA MATILDE,21,PENHA,Leste,Leste 1,ALEXANDRE ZAIO-AMA,"ALVES MALDONADO,R,128",VL. NHOCUN+,67492855.0,3558000.0,6143121.000000,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
54,-46643606,-23664546,355030838000108,3550308005163,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,AMERICANOPOLIS-AMA,"CIDADE DE SANTOS,R,46",JABAQUARA,55621476.0,4336050.0,6143237.000000,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
55,-46758672,-23488618,355030895000061,3550308005111,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,ANHANGUERA - AMA,"MARCELA ALVES DE CASSIA,R,175",JD JARAGUA,55483152.0,4727000.0,6146260.000000,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
56,-46753702,-23647799,355030846000278,3550308005229,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,ANTONIO B DE OLIVEIRA - AMA VILA PREL,TEREZA MAIA PINTO,VILA PREL,55111630.0,5780390.0,6131689.000000,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
57,-46645012,-23652993,355030838000337,3550308005095,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,"ARTHUR RIBEIRO SABOYA,DR-AMA (JABAQUARA)","FRANCISCO DE PAULA QUINTANILHA RIBEIRO,AV,860",JABAQUARA,50135461.0,4330020.0,6165478.000000,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
58,-46651352,-23524329,355030869000043,3550308005027,70,SANTA CECILIA,9,SE,Centro,Centro,BORACEA - AMA,"RIBEIRO DE ALMEIDA,R,14",BARRA FUNDA,33921854.0,1137020.0,5713870.000000,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
59,-46520533,-23504946,355030818000001,3550308005137,18,CANGAIBA,21,PENHA,Leste,Leste 1,CANGAIBA-AMA DR. CARLOS GENTILE MELO,"CANGAIBA,AV,3722",CANGAIBA,66216523.0,3711001.0,6143156.000000,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
60,-46773393,-23673297,355030819000016,3550308005232,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAPAO REDONDO - AMA,"SANTANA,COM,AV,774",JD. BOA ESPERANCA,58742846.0,5666000.0,6218830.000000,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
61,-46404006,-23579958,355030825000044,3550308005268,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CASTRO ALVES-AMA,"CADERNO DE VIAGEM,R,55",CASTRO ALVES,62820320.0,8474170.0,6135366.000000,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
62,-46659460,-23695249,355030858000064,3550308005216,59,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,CESAR ANTUNES DA ROCHA-AMA (PEDREIRA),"CORREGO AZUL,R,433",PEDREIRA,56115044.0,4463010.0,6133460.000000,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
63,-46464835,-23554316,355030824000120,3550308005203,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,CIDADE LIDER I-AMA,"FRANCISCO MUNHOZ F,DR,AV,379",CIDADE LIDER,67480035.0,8280000.0,6135404.000000,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
64,-46734104,-23441453,355030842000157,3550308005186,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,CITY JARAGUA - AMA,"TAIPAS,ESTRADA DE (ESQ. R PAULO ARENTINO)1648",JARAGUA,39472690.0,2991000.0,6146279.000000,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
65,-46633950,-23523893,355030809000018,3550308005004,9,BOM RETIRO,9,SE,Centro,Centro,COMPLEXO PRATES - AMA,"R. PRATES, 1101",BOM RETIRO,,1009000.0,6964028.000000,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
66,-46661825,-23647281,355030838000123,3550308005097,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,CUPECE - AMA,"SANTA CATARINA,AV,1523",JABAQUARA,,4378300.0,6143245.000000,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
67,-46713901,-23445946,355030842000192,3550308005188,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,ELISIO TEIXEIRA LEITE- AMA,"JOAO AMADO COUTINHO,R,400",JARAGUA,39712572.0,2715000.0,6146287.000000,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
